termo,site,ano,titulo,data,link,link_base
incêndio,www.sapo.pt,2019,"Zidane deixa estágio do Real Madrid para tratar de ""assuntos pessoais"" - Desporto - SAPO",2019-07-13 17:21:53,https://arquivo.pt/noFrame/replay/20190713172153/https://www.sapo.pt/noticias/desporto/zidane-deixa-estagio-do-real-madrid-para_5d28b29c1688407d424abdd3,
incêndio,www.sapo.pt,2019,Inácio anuncia Enzo Zidane como reforço do Desportivo das Aves - Desporto - SAPO,2019-07-13 17:27:07,https://arquivo.pt/noFrame/replay/20190713172707/https://www.sapo.pt/noticias/desporto/inacio-anuncia-enzo-zidane-como-reforco-do_5d29e17dd32cab7d00d5770c,
incêndio,www.sapo.pt,2019,Santa Clara e Belenenses SAD empatam a zero na I Liga - Desporto - SAPO,2019-08-25 17:59:15,https://arquivo.pt/noFrame/replay/20190825175915/https://www.sapo.pt/noticias/desporto/santa-clara-e-belenenses-sad-empatam-a-zero_5d62c286fdee9d7d4f6d92e3,
incêndio,www.sapo.pt,2019,YouTube muda tratamento de dados de crianças após multa nos EUA - Economia - SAPO,2019-09-05 17:25:07,https://arquivo.pt/noFrame/replay/20190905172507/https://www.sapo.pt/noticias/economia/youtube-muda-tratamento-de-dados-de-criancas-_5d700cb6d9048e7d172b2f30,
incêndio,www.sapo.pt,2019,Quarta geração do Toyota Yaris está pronta e será assim!,2019-10-14 18:00:18,https://arquivo.pt/noFrame/replay/20191014180018/https://www.sapo.pt/noticias/amp/motores/quarta-geracao-do-toyota-yaris-esta-pronta-e-_5da49bcf9b9ed0613c401d1d,
incêndio,www.expresso.pt,2019,Expresso | Liberdade para pensar,2019-02-08 18:16:42,https://arquivo.pt/noFrame/replay/20190208181642/https://www.expresso.pt/,
incêndio,www.expresso.pt,2019,Expresso | Liberdade para pensar,2019-01-11 18:16:18,https://arquivo.pt/noFrame/replay/20190111181618/https://www.expresso.pt/,
queimada,www.publico.pt,2017,Adolescente queimada viva no Paquistão por se casar com o homem que amava - PÚBLICO,2017-03-03 13:38:58,https://arquivo.pt/noFrame/replay/20170303133858/https://www.publico.pt/2016/06/08/mundo/noticia/adolescente-queimada-viva-no-paquistao-por-casar-com-o-homem-que-amava-1734458,
queimada,www.publico.pt,2017,Object moved,2017-03-03 13:37:11,https://arquivo.pt/noFrame/replay/20170303133711/https://www.publico.pt/mundo/noticia/adolescente-queimada-viva-no-paquistao-por-casar-com-o-homem-que-amava-1734458,
queimada,www.publico.pt,2017,Formação trava tentação de voltar à estaca zero - PÚBLICO,2017-06-09 01:40:24,https://arquivo.pt/noFrame/replay/20170609014024/https://www.publico.pt/2017/06/07/desporto/noticia/formacao-trava-tentacao-de-voltar-a-estaca-zero-1774836,
